0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
1.010000000000000009e+00 0.000000000000000000e+00
1.020000000000000018e+00 0.000000000000000000e+00
1.030000000000000027e+00 5.699049326155614104e-03
1.040999999999999925e+00 1.258155188873233410e-02
1.053099999999999925e+00 2.009729282343897250e-02
1.066410000000000080e+00 2.829855159487670857e-02
1.081050999999999984e+00 3.724067905705141790e-02
1.097156100000000079e+00 4.698200313745992673e-02
1.114871710000000071e+00 5.758365670689891136e-02
1.134358881000000041e+00 6.910931027782063474e-02
1.155794769100000119e+00 8.162478979959864045e-02
1.179374246010000071e+00 9.519755743710056617e-02
1.205311670611000086e+00 1.098960309603986829e-01
1.233842837672100012e+00 1.257887154228394255e-01
1.265227121439310043e+00 1.429431194131016714e-01
1.299749833583241143e+00 1.614244276654444032e-01
1.337724816941565198e+00 1.812939026255115937e-01
1.379497298635721902e+00 2.026069902255290822e-01
1.425447028499294166e+00 2.254111102612654793e-01
1.475991731349223457e+00 2.497431201291324676e-01
1.531590904484145810e+00 2.756264531086888292e-01
1.592749994932560531e+00 3.030679497439250358e-01
1.660024994425816747e+00 3.320544240403552338e-01
1.734027493868398384e+00 3.625490358669343216e-01
1.815430243255238274e+00 3.944875775348197777e-01
1.904973267580762020e+00 4.277748258803245607e-01
2.000000000000000000e+00 4.611014419222491112e-01
