0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.010000000000000009e+00 -2.910559066151961716e+01 -4.287176867117349362e-15 -3.961482958019328919e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.020000000000000018e+00 -4.455319099437250685e+01 -6.045556414627377763e-13 -6.057207010567420825e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.030000000000000027e+00 -4.712986506215932536e+01 -3.591855127762255855e-11 -3.591818043762427155e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040999999999999925e+00 -4.680363444070474088e+01 -3.781555284417975848e-11 -3.781518475210745500e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.053099999999999925e+00 -4.644738832040799537e+01 -3.918020665268488812e-11 -3.918289390167254697e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.066410000000000080e+00 -4.605864865464742763e+01 -4.009792889216526103e-11 -4.009955646139786061e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.081050999999999984e+00 -4.563479181294338360e+01 -4.092267160340119569e-11 -4.092286275570337715e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.097156100000000079e+00 -4.517305305153364969e+01 -4.086478322874853628e-11 -4.086495722734602275e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.114871710000000071e+00 -4.467053467234208597e+01 -4.083528014295904725e-11 -4.083522461086346717e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.134358881000000041e+00 -4.412421869307906519e+01 -4.062151040050232206e-11 -4.061730322245759662e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.155794769100000119e+00 -4.353098496374455095e+01 -4.024913310360524443e-11 -4.025116297191444831e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.179374246010000071e+00 -4.288763577772396474e+01 -3.976060763189513645e-11 -3.975894392603156901e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.205311670611000086e+00 -4.219092813271606701e+01 -3.917352322247464295e-11 -3.917198383004415651e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.233842837672100012e+00 -4.143761488919229663e+01 -3.850391498095824507e-11 -3.850521829668305140e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.265227121439310043e+00 -4.062449614004938070e+01 -3.777205633546588292e-11 -3.777046006797724694e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.299749833583241143e+00 -3.974848212888343113e+01 -3.696640505972948595e-11 -3.696752004027239236e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.337724816941565198e+00 -3.880666901577095729e+01 -3.609810831273364438e-11 -3.609714887541417806e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.379497298635721902e+00 -3.779642866352435249e+01 -3.515705641112251445e-11 -3.515423785567403716e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.425447028499294166e+00 -3.671551337382430802e+01 -3.414641172163883750e-11 -3.414543597901560569e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.475991731349223457e+00 -3.556217610608091206e+01 -3.308278972599447555e-11 -3.308122968007107296e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.531590904484145810e+00 -3.433530612284297945e+01 -3.194184295201333259e-11 -3.193834938398633140e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.592749994932560531e+00 -3.303457918232538049e+01 -3.072663858905283815e-11 -3.073005520937238899e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.660024994425816747e+00 -3.166062030066679256e+01 -2.945051188575154311e-11 -2.945105558597830736e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.734027493868398384e+00 -3.021517570007875619e+01 -2.810767741165075548e-11 -2.810589134730172582e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.815430243255238274e+00 -2.870128882501238010e+01 -2.669714996735035565e-11 -2.669315545952807813e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.904973267580762020e+00 -2.712347325342648219e+01 -2.522312989424762297e-11 -2.522565502955189547e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 -2.554379165303031129e+01 -2.375774133171029720e-11 -2.375909943665726905e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
