36 1 -0.25 2 -0.25 5 -0.25 6 -0.25 9 0.5 13 0.5 17 0.5 18 0.5
39 1 -0.125 2 0.375 9 0.75
43 1 -0.1875 2 -0.1875 5 -0.1875 6 -0.1875 9 0.375 13 0.375 17 0.25 18 0.75
47 2 0.375 6 -0.125 18 0.75
48 1 -0.1875 2 -0.1875 5 -0.1875 6 -0.1875 9 0.75 13 0.25 17 0.375 18 0.375
60 1 0.375 2 -0.125 9 0.75
63 1 -0.1875 2 -0.1875 5 -0.1875 6 -0.1875 9 0.375 13 0.375 17 0.75 18 0.25
66 1 0.375 5 -0.125 17 0.75
75 5 -0.125 6 0.375 13 0.75
79 2 -0.125 6 0.375 18 0.75
80 1 -0.1875 2 -0.1875 5 -0.1875 6 -0.1875 9 0.25 13 0.75 17 0.375 18 0.375
87 5 0.375 6 -0.125 13 0.75
90 1 -0.125 5 0.375 17 0.75
